Input Address: 0, Input Data: -15487858
Input: -27169054, Weight: 3986400, Multiplication Result: -108306716865600, Accumulation Result: 38596605408
Input Address: 5, Input Data: -18749745
Output Address: 0000000101, Output Data (Fixed): 5113, Output Data (Float): 0.00030475854873657227
Input: -18749745, Weight: 3282034, Multiplication Result: -61537300581330, Accumulation Result: 85795323315
Input: -18749745, Weight: 3282034, Multiplication Result: -61537300581330, Accumulation Result: 0
Input: -18749745, Weight: 3282034, Multiplication Result: -61537300581330, Accumulation Result: 0
Input: -18749745, Weight: 3282034, Multiplication Result: -61537300581330, Accumulation Result: 4291299387
Input: -18749745, Weight: 3282034, Multiplication Result: -61537300581330, Accumulation Result: 4291299387
Input: -18749745, Weight: 3282034, Multiplication Result: -61537300581330, Accumulation Result: 8582598774
Input: -18749745, Weight: 3282034, Multiplication Result: -61537300581330, Accumulation Result: 8582598774
Input: -18749745, Weight: 3282034, Multiplication Result: -61537300581330, Accumulation Result: 12873898161
Input: -18749745, Weight: 3282034, Multiplication Result: -61537300581330, Accumulation Result: 12873898161
Input: -18749745, Weight: 3282034, Multiplication Result: -61537300581330, Accumulation Result: 17165197548
Input: -18749745, Weight: 3282034, Multiplication Result: -61537300581330, Accumulation Result: 17165197548
Input: -18749745, Weight: 3282034, Multiplication Result: -61537300581330, Accumulation Result: 21456496935
Input: -18749745, Weight: 3282034, Multiplication Result: -61537300581330, Accumulation Result: 21456496935
Input: -18749745, Weight: 3282034, Multiplication Result: -61537300581330, Accumulation Result: 25747796322
Input: -18749745, Weight: 3282034, Multiplication Result: -61537300581330, Accumulation Result: 25747796322
Input: -18749745, Weight: 3282034, Multiplication Result: -61537300581330, Accumulation Result: 30039095709
Input: -18749745, Weight: 3282034, Multiplication Result: -61537300581330, Accumulation Result: 30039095709
Input: -18749745, Weight: 3282034, Multiplication Result: -61537300581330, Accumulation Result: 34330395096
Input: -18749745, Weight: 3282034, Multiplication Result: -61537300581330, Accumulation Result: 34330395096
Input: -18749745, Weight: 3282034, Multiplication Result: -61537300581330, Accumulation Result: 38621694483
Input Address: 6, Input Data: -14919779
Output Address: 0000000110, Output Data (Fixed): 5116, Output Data (Float): 0.00030493736267089844
Input: -14919779, Weight: 2535117, Multiplication Result: -37823385379143, Accumulation Result: 85838708871
Input: -14919779, Weight: 2535117, Multiplication Result: -37823385379143, Accumulation Result: 0
Input: -14919779, Weight: 2535117, Multiplication Result: -37823385379143, Accumulation Result: 0
Input: -14919779, Weight: 2535117, Multiplication Result: -37823385379143, Accumulation Result: 4292712846
Input: -14919779, Weight: 2535117, Multiplication Result: -37823385379143, Accumulation Result: 4292712846
Input: -14919779, Weight: 2535117, Multiplication Result: -37823385379143, Accumulation Result: 8585425692
Input: -14919779, Weight: 2535117, Multiplication Result: -37823385379143, Accumulation Result: 8585425692
Input: -14919779, Weight: 2535117, Multiplication Result: -37823385379143, Accumulation Result: 12878138538
Input: -14919779, Weight: 2535117, Multiplication Result: -37823385379143, Accumulation Result: 12878138538
Input: -14919779, Weight: 2535117, Multiplication Result: -37823385379143, Accumulation Result: 17170851384
Input: -14919779, Weight: 2535117, Multiplication Result: -37823385379143, Accumulation Result: 17170851384
Input: -14919779, Weight: 2535117, Multiplication Result: -37823385379143, Accumulation Result: 21463564230
Input: -14919779, Weight: 2535117, Multiplication Result: -37823385379143, Accumulation Result: 21463564230
Input: -14919779, Weight: 2535117, Multiplication Result: -37823385379143, Accumulation Result: 25756277076
Input: -14919779, Weight: 2535117, Multiplication Result: -37823385379143, Accumulation Result: 25756277076
Input: -14919779, Weight: 2535117, Multiplication Result: -37823385379143, Accumulation Result: 30048989922
Input: -14919779, Weight: 2535117, Multiplication Result: -37823385379143, Accumulation Result: 30048989922
Input: -14919779, Weight: 2535117, Multiplication Result: -37823385379143, Accumulation Result: 34341702768
Input: -14919779, Weight: 2535117, Multiplication Result: -37823385379143, Accumulation Result: 34341702768
Input: -14919779, Weight: 2535117, Multiplication Result: -37823385379143, Accumulation Result: 38634415614
Input Address: 7, Input Data: -4014057
Output Address: 0000000111, Output Data (Fixed): 5118, Output Data (Float): 0.0003050565719604492
Input: -4014057, Weight: 1521264, Multiplication Result: -6106440408048, Accumulation Result: 85871271213
Input: -4014057, Weight: 1521264, Multiplication Result: -6106440408048, Accumulation Result: 0
Input: -4014057, Weight: 1521264, Multiplication Result: -6106440408048, Accumulation Result: 0
Input: -4014057, Weight: 1521264, Multiplication Result: -6106440408048, Accumulation Result: 4294603323
Input: -4014057, Weight: 1521264, Multiplication Result: -6106440408048, Accumulation Result: 4294603323
Input: -4014057, Weight: 1521264, Multiplication Result: -6106440408048, Accumulation Result: 8589206646
Input: -4014057, Weight: 1521264, Multiplication Result: -6106440408048, Accumulation Result: 8589206646
Input: -4014057, Weight: 1521264, Multiplication Result: -6106440408048, Accumulation Result: 12883809969
Input: -4014057, Weight: 1521264, Multiplication Result: -6106440408048, Accumulation Result: 12883809969
Input: -4014057, Weight: 1521264, Multiplication Result: -6106440408048, Accumulation Result: 17178413292
Input: -4014057, Weight: 1521264, Multiplication Result: -6106440408048, Accumulation Result: 17178413292
Input: -4014057, Weight: 1521264, Multiplication Result: -6106440408048, Accumulation Result: 21473016615
Input: -4014057, Weight: 1521264, Multiplication Result: -6106440408048, Accumulation Result: 21473016615
Input: -4014057, Weight: 1521264, Multiplication Result: -6106440408048, Accumulation Result: 25767619938
Input: -4014057, Weight: 1521264, Multiplication Result: -6106440408048, Accumulation Result: 25767619938
Input: -4014057, Weight: 1521264, Multiplication Result: -6106440408048, Accumulation Result: 30062223261
Input: -4014057, Weight: 1521264, Multiplication Result: -6106440408048, Accumulation Result: 30062223261
Input: -4014057, Weight: 1521264, Multiplication Result: -6106440408048, Accumulation Result: 34356826584
Input: -4014057, Weight: 1521264, Multiplication Result: -6106440408048, Accumulation Result: 34356826584
Input: -4014057, Weight: 1521264, Multiplication Result: -6106440408048, Accumulation Result: 38651429907
Input Address: 8, Input Data: -5257554
Output Address: 0000001000, Output Data (Fixed): 5119, Output Data (Float): 0.0003051161766052246
Input: -5257554, Weight: 2515593, Multiplication Result: -13225866039522, Accumulation Result: 85888247301
Input: -5257554, Weight: 2515593, Multiplication Result: -13225866039522, Accumulation Result: 0
Input: -5257554, Weight: 2515593, Multiplication Result: -13225866039522, Accumulation Result: 0
Input: -5257554, Weight: 2515593, Multiplication Result: -13225866039522, Accumulation Result: 4294178972
Input: -5257554, Weight: 2515593, Multiplication Result: -13225866039522, Accumulation Result: 4294178972
Input: -5257554, Weight: 2515593, Multiplication Result: -13225866039522, Accumulation Result: 8588357944
Input: -5257554, Weight: 2515593, Multiplication Result: -13225866039522, Accumulation Result: 8588357944
